repo_url,repo_name,reason_skipped,current_hash,commits_used,commits_walked,commits_total,rtl_dir,dv_dir,test_cmd
https://github.com/ultraembedded/core_usb_bridge,core_usb_bridge,bad license: LGPL-2.1,,,,12,,,
https://github.com/pulp-platform/apb_event_unit,apb_event_unit,,,,,29,,,
https://github.com/ZipCPU/tttt,tttt,not enough Verilog/SV (<5%),,,,12,,,
https://github.com/ultraembedded/core_usb_cdc,core_usb_cdc,bad license: LGPL-2.1,,,,10,,,
https://github.com/ZipCPU/vgasim,vgasim,,,,,127,,,
https://github.com/pulp-platform/apb_gpio,apb_gpio,,,,,44,,,
https://github.com/ultraembedded/core_usb_fs_phy,core_usb_fs_phy,bad license: LGPL-2.1,,,,3,,,
https://github.com/ZipCPU/videozip,videozip,,,,,61,,,
https://github.com/ultraembedded/core_usb_host,core_usb_host,bad license: GPL-3.0,,,,6,,,
https://github.com/pulp-platform/apb_i2c,apb_i2c,,,,,11,,,
https://github.com/ZipCPU/wb2axip,wb2axip,,c1e5ebad2f0e6263270de050a0e9c7e296c9f534,1,500,501,rtl,bench/formal,bash problems/ZipCPU/wb2axip/run_sby.sh axilupsz prf
https://github.com/ultraembedded/core_usb_sniffer,core_usb_sniffer,not enough commits (5),,,,5,,,
https://github.com/pulp-platform/apb_pulpino,apb_pulpino,,,,,12,,,
https://github.com/ZipCPU/wbfmtx,wbfmtx,not enough commits (5),,,,5,,,
https://github.com/ultraembedded/core_usb_uart,core_usb_uart,not enough commits (4),,,,4,,,
https://github.com/pulp-platform/apb_spi_master,apb_spi_master,,,,,15,,,
https://github.com/ZipCPU/wbhyperram,wbhyperram,not enough Verilog/SV (<5%),,,,4,,,
https://github.com/ultraembedded/cortex_m0_wrapper,cortex_m0_wrapper,bad license: LGPL-3.0,,,,7,,,
https://github.com/pulp-platform/apb_timer,apb_timer,DV in separate repo (no rtl-coupled testbench),,,,20,,,
https://github.com/ZipCPU/wbi2c,wbi2c,,,,,46,,,
https://github.com/ultraembedded/ecpix-5,ecpix-5,not enough commits (4),,,,4,,,
https://github.com/pulp-platform/apb_uart,apb_uart,not enough commits (5),,,,5,,,
https://github.com/ZipCPU/wbicapetwo,wbicapetwo,not enough commits (3),,,,3,,,
https://github.com/ultraembedded/ecpix5-test,ecpix5-test,not enough commits (3),,,,3,,,
